#aciso=M;src: LT;
absurdidade=F;src: LT;
absurdismo=M;src: LT;
absurdista=MF;src: LT;
absurdo=M;src: LT;
absência=F;src: LT;
absíntio=M;src: LT;
abu=M;src: LT;
abuitre=M;src: LT;
abulia=F;src: LT;
abuna=M;src: LT;
abundança=F;src: LT;
abundeza=F;src: LT;
abundância=F;src: LT;
abunhadio=M;src: LT;
abunhado=M;src: LT;
abunhação [pl. abunhações]=F;src: LT;
abunã=F;src: LT;
aburguesamento=M;src: LT;
aburu=M;src: LT;
abusador abusadora=MF;src: LT;
abuso=M;src: LT;
abusão [pl. abusões]=F;src: LT;
abuta=F;src: LT;
abutiloide=F;src: LT;
abutilão [pl. abutilões]=M;src: LT;
abutre=M;src: LT;
abutre-do-egito [pl. abutres-do-egito]=M; src: LT;
abutre-do-egipto [pl. abutres-do-egipto]=M; src: LT;
abutreiro=M;src: LT;
abziritano=M;src: LT;
abzoa=MF;src: LT;
abáculo=M;src: LT;
abádida=MF;src: LT;
abásico=M;src: LT;
abássida=MF;src: LT;
abâmea=F;src: LT;
abébia=F;src: LT;
abécula=F;src: LT;
abélia=F;src: LT;
abêbera=F;src: LT;
abígeo=M;src: LT;
abóbada=F;src: LT;
abóbora=F;src: LT;
abúlico abúlica=MF;src: LT;
abúter=M;src: LT;
abútua=F;src: LT;
aca=M;src: LT;
acaba-novenas=MFI;src: LT;
acabadela=F;src: LT;
acabado=M;src: LT;
acabador acabadora=MF;src: LT;
acabamento=M;src: LT;
acabramo=M;src: LT;
acabrunhador=M;src: LT;
acabrunhamento=M;src: LT;
acaburro=M;src: LT;
acachapador=M;src: LT;
acachapamento=M;src: LT;
acacianismo=M;src: LT;
acaciano=M;src: LT;
academia=F;src: LT;
academicidade=F;src: LT;
academicismo=M;src: LT;
academismo=M;src: LT;
academista=MF;src: LT;
acadiano acadiana=MF;src: LT;
acadiense=MF;src: LT;
acadiro=M;src: LT;
académia=F;src: LT;
académica=F;src: LT;
académico=M;src: LT;
acadêmia=F;src: LT;
acadêmica=F;src: LT;
acadêmico=M;src: LT;
acafajestamento=M;src: LT;
acafelador=M;src: LT;
acafeladura=F;src: LT;
acafelamento=M;src: LT;
acaiacá=M;src: LT;
acaico=M;src: LT;
acaipiramento=M;src: LT;
acairelador=M;src: LT;
acairelamento=M;src: LT;
acaiçaramento=M;src: LT;
acajaíba=F;src: LT;
acaju=M;src: LT;
acajueiro=M;src: LT;
acajurana=F;src: LT;
acajuí [pl. acajuís]=M;src: LT;
acajá=M;src: LT;
acalanto=M;src: LT;
acalasia=F;src: LT;
acalcador=M;src: LT;
acalcamento=M;src: LT;
acalcanhamento=M;src: LT;
acalculia=F;src: LT;
acalcário=M;src: LT;
acalcúlico=M;src: LT;
acalefa=F;src: LT;
acalefo=M;src: LT;
acalefologia=F;src: LT;
acalenta-menino=M;src: LT;
acalentador acalentadora=MF;src: LT;
acalentamento=M;src: LT;
acalento=M;src: LT;
acalipto=M;src: LT;
acalmador=M;src: LT;
acalmamento=M;src: LT;
acalmação [pl. acalmações]=F;src: LT;
acalmia=F;src: LT;
acaloramento=M;src: LT;
acalásia=F;src: LT;
acalífea=F;src: LT;
acama=MF;src: LT;
acamado acamada=MF;src: LT;
acamamento=M;src: LT;
acamaradagem=F;src: LT;
acamaradamento=M;src: LT;
acamação [pl. acamações]=F;src: LT;
acamonia=F;src: LT;
acampamento=M;src: LT;
acampsia=F;src: LT;
acamptossomo=M;src: LT;
acamurçamento=M;src: LT;
acamutanga=F;src: LT;
acanalador=M;src: LT;
acanaladura=F;src: LT;
acanalamento=M;src: LT;
acanalhador=M;src: LT;
acanalhamento=M;src: LT;
acanaveadura=F;src: LT;
acanaveamento=M;src: LT;
acanelado=M;src: LT;
acanelador=M;src: LT;
acaneladura=F;src: LT;
acanelamento=M;src: LT;
acangatar=M;src: LT;
acanguape=M;src: LT;
acanguçu=M;src: LT;
acanhado=M;src: LT;
acanhador=M;src: LT;
acanhamento=M;src: LT;
